* ---------------------------------------------------------------------------- * RELATORIO DE FATURAMENTO - VENDAS * ----------------------------------------------------------------------------- *  Rel:0000136;;;;;;;;;;;;;;;;;;;;;;;;;;
Usuario:SMART GROUP LAMINADOS                                                                                                                                        Rech Informática Ltd    Quarta, 10/06/2026 15:09:43;;;;;;;;;;;;;;;;;;;;;;;;;;
Empresa:SMART GROUP IND.LAMINADOS SINT.L                Sigla:SMT                          CNPJ:19.551.393/0001-50  IE:294/0027549                                                                Data da Empresa:30/06/2026;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cliente: Exclui 1383, 1384; Dt./hr.fatur: 01/01/2025 a 31/12/2026; CFOP: Inclui 5101, 5102, 5124, 6101, 6102, 6124, 5125, 6108, 6107, 6122, 5911, 6911;";;;;;;;;;;;;;;;;;;;;;;;;;;
"Entid.proces: Pedido, Venda do PDV, Retirada, Nota fiscal; Pos.detalhada ped: Não faturados, Faturados; Pos.item: Faturado; Tp.cód.fiscal OP: Cobradas;";;;;;;;;;;;;;;;;;;;;;;;;;;
"Tp.nat.OP: Normal; Custo mat.vend: Sobre valor médio das saídas; Deduz imp.vlr.cotação frete: Sim; Dt.ref.p/index.moeda: 00/00/0000;";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Dt.ent.item;Dt.faturam;Pedido;Produto;Desc.completa;Grupo;Descrição;Nro.nota;Nat.oper;Qtd.item/Ft;UN;Qtd.solic.item;Valor Fat+Valor IPI+Valor Frete;Vlr.unit.líq;Descr.Pos.item;Cliente;Razão social;Abreviação;Cidade;UF;Sig.emp;Frete;Preço ven;Diferença;Comis.prod;Comissão/Metros;
06/12/2024;17/01/2025;6;10451;PRINT LISTRAS PRETO (VENDA VULCABRAS);2;PRODUCAO;16528;6101;229,000;M;300,000;26.002,95;113,55;Faturado;875;VULCABRAS-CE CALC.ART.ESPORT.S/A;;HORIZONTE;CE;SMT;0,0000;1,0000;-112,55;0,00;0,00;
11/12/2024;07/01/2025;8;5349;CROCO METAL SLEEK SILVER;2;PRODUCAO;16408;6124;39,000;M;40,000;187,24;4,65;Faturado;41;SOARES COMERCIO DE MATERIAIS EM;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-3,65;0,00;0,00;
11/12/2024;07/01/2025;8;9448;CROCO METAL BRONZE;2;PRODUCAO;16408;6124;39,500;M;40,000;189,64;4,65;Faturado;41;SOARES COMERCIO DE MATERIAIS EM;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-3,65;0,00;0,00;
11/12/2024;09/01/2025;8;611;T + GRAVAÇÃO CROCO BRANCO;2;PRODUCAO;16437;6124;118,600;M;120,000;409,17;3,45;Faturado;41;SOARES COMERCIO DE MATERIAIS EM;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-2,45;0,00;0,00;
12/12/2024;10/01/2025;10;11699;NAPA GLITTER TRIANGULOS PU 1.0 OURO ROSADO;2;PRODUCAO;16451;5101;136,500;M;136,500;8.456,18;61,95;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-60,95;0,00;0,00;
12/12/2024;10/01/2025;10;11700;NAPA GLITTER TRIANGULOS PU 1.0 PRATA;2;PRODUCAO;16451;5101;139,300;M;139,300;8.629,64;61,95;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-60,95;0,00;0,00;
12/12/2024;10/01/2025;10;11701;NAPA GLITTER TRIANGULOS PU 1.0 DOURADO;2;PRODUCAO;16451;5101;93,000;M;93,000;5.761,35;61,95;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-60,95;0,00;0,00;
12/12/2024;10/01/2025;10;11702;NAPA GLITTER TRIANGULOS PU 1.0 GRAFITE;2;PRODUCAO;16451;5101;139,000;M;139,000;8.611,05;61,95;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-60,95;0,00;0,00;
12/12/2024;10/01/2025;39;10932;NOBUCK TUNISIA PU 1.2 CINZA 1235 VENDA BR;2;PRODUCAO;16453;5101;364,000;M;400,000;15.888,60;43,65;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-42,65;0,00;0,00;
12/12/2024;10/01/2025;39;11013;NOBUCK TUNISIA PU 1.2 BRANCO OFF (VENDA BEIRA RIO);2;PRODUCAO;16447;5101;290,500;M;300,000;12.680,33;43,65;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-42,65;0,00;0,00;
12/12/2024;10/01/2025;47;11013;NOBUCK TUNISIA PU 1.2 BRANCO OFF (VENDA BEIRA RIO);2;PRODUCAO;16446;5101;298,500;M;315,000;13.029,53;43,65;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-42,65;0,00;0,00;
12/12/2024;13/01/2025;0;11860;INSUMOS APLICADOS ICMS NAO DIFERIDO;18;SERVIÇOS..;16465;5124;209,000;M;200,000;305,14;1,46;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;0,0100;-1,45;0,00;0,00;
12/12/2024;13/01/2025;14;10631;NAPA PESPONTO LISBOA PU 1.0 PRETO 01 (VENDA BEIRA R;2;PRODUCAO;16467;5101;202,000;M;200,000;9.150,60;45,30;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-44,30;0,00;0,00;
12/12/2024;13/01/2025;34;10726;NAPA PESPONTO BERLIM PU 1.2 (M O/I 2024) PRETO 01;2;PRODUCAO;16465;5124;209,000;M;200,000;1.220,56;5,84;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-4,84;0,00;0,00;
12/12/2024;14/01/2025;0;4553;LACA 3722 - INJEÇÃO;5;LACA/GLITTER;16476;5124;96,000;KG;100,000;873,60;9,10;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-8,10;0,00;0,00;
12/12/2024;14/01/2025;11;8165;NAPA METAL SOFT STRETCH BAG NEO 0.9 PRATA;2;PRODUCAO;16476;5124;96,000;M;100,000;1.420,80;14,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-13,80;0,00;0,00;
12/12/2024;14/01/2025;33;6597;NAPA TRESSE ALBA PU 1.0 PRETO 01 (VENDA BEIRA RIO);2;PRODUCAO;16473;5101;145,000;M;150,000;6.597,50;45,50;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-44,50;0,00;0,00;
12/12/2024;14/01/2025;37;9744;NAPA TRESSÊ DUBAI PU 0.9 CINZA 1235;2;PRODUCAO;16486;5101;93,000;M;100,000;4.352,40;46,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-45,80;0,00;0,00;
12/12/2024;14/01/2025;37;10243;NAPA TRESSÊ DUBAI PU 0.9 BEGE 435;2;PRODUCAO;16486;5101;89,000;M;100,000;4.165,20;46,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-45,80;0,00;0,00;
12/12/2024;14/01/2025;42;10898;NAPA TRESSE VALENCIA PU 1.0 CREME 985 VENDA BR;2;PRODUCAO;16483;5101;294,500;M;300,000;13.532,28;45,95;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-44,95;0,00;0,00;
12/12/2024;14/01/2025;42;10917;NAPA TRESSE VALENCIA PU 1.0 PRETO 01 VENDA BR;2;PRODUCAO;16475;5101;295,500;M;300,000;13.578,23;45,95;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-44,95;0,00;0,00;
12/12/2024;15/01/2025;14;10650;NAPA PESPONTO LISBOA PU 1.0 CINZA 1235 (VENDA BEIRA;2;PRODUCAO;16506;5101;50,000;M;55,000;2.265,00;45,30;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-44,30;0,00;0,00;
12/12/2024;15/01/2025;14;10656;NAPA PESPONTO LISBOA PU 1.0 BRANCO OFF (VENDA BEIRA;2;PRODUCAO;16501;5101;128,200;M;130,000;5.807,46;45,30;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-44,30;0,00;0,00;
12/12/2024;15/01/2025;23;9877;NAPA TRESSÊ DUBAI BAG NEO 0.9 BRANCO OFF 526;2;PRODUCAO;16502;5101;94,000;M;100,000;3.365,20;35,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-34,80;0,00;0,00;
12/12/2024;15/01/2025;23;10230;NAPA TRESSÊ DUBAI BAG NEO 0.9 CAMEL 1165;2;PRODUCAO;16500;5101;100,000;M;100,000;3.580,00;35,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-34,80;0,00;0,00;
12/12/2024;15/01/2025;35;11210;P NAPA ONCA MALI PU 1.0 MULTI CREME 985;2;PRODUCAO;16503;5101;144,000;M;150,000;7.185,60;49,90;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-48,90;0,00;0,00;
12/12/2024;16/01/2025;35;11212;P NAPA ONCA MALI PU 1.0 MULTI CAMEL 1165;2;PRODUCAO;16515;5101;291,500;M;300,000;14.545,85;49,90;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-48,90;0,00;0,00;
12/12/2024;16/01/2025;38;9754;NAPA LEZARD PARIS PU 1.0 CREME 985;2;PRODUCAO;16520;5101;139,500;M;150,000;5.273,10;37,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-36,80;0,00;0,00;
12/12/2024;16/01/2025;41;11210;P NAPA ONCA MALI PU 1.0 MULTI CREME 985;2;PRODUCAO;16525;5101;119,500;M;120,000;5.963,05;49,90;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-48,90;0,00;0,00;
12/12/2024;16/01/2025;41;11212;P NAPA ONCA MALI PU 1.0 MULTI CAMEL 1165;2;PRODUCAO;16525;5101;303,500;M;310,000;15.144,65;49,90;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-48,90;0,00;0,00;
12/12/2024;17/01/2025;0;4553;LACA 3722 - INJEÇÃO;5;LACA/GLITTER;16530;5124;96,000;KG;100,000;552,00;5,75;Faturado;331;CALCADOS DIVALORI LTDA;;TRES COROAS;RS;SMT;0,0000;1,0000;-4,75;0,00;0,00;
12/12/2024;17/01/2025;38;9808;NAPA LEZARD PARIS PU 1.0 NUDE 658;2;PRODUCAO;16538;5101;192,000;M;200,000;7.257,60;37,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-36,80;0,00;0,00;
12/12/2024;17/01/2025;45;11098;*1 GRAVACAO MESTICO + METALIZADO PIGMENTADO ONIX;2;PRODUCAO;16530;5124;96,000;M;100,000;1.358,40;14,15;Faturado;331;CALCADOS DIVALORI LTDA;;TRES COROAS;RS;SMT;0,0000;1,0000;-13,15;0,00;0,00;
12/12/2024;21/01/2025;9;11312;P TRAMALUX METAL BRONZE;2;PRODUCAO;16584;5124;220,800;M;250,000;7.915,68;35,85;Faturado;261;ENDUTEX BRASIL LTDA;;TRES COROAS;RS;SMT;0,0000;1,0000;-34,85;0,00;0,00;
12/12/2024;21/01/2025;44;9146;METALIZADO PREMIUM PU 0.9 GRAFITE 914 (VENDA BEIRA RIO);2;PRODUCAO;16580;5101;606,000;M;600,000;33.784,50;55,75;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-54,75;0,00;0,00;
12/12/2024;23/01/2025;0;4553;LACA 3722 - INJEÇÃO;5;LACA/GLITTER;16620;5124;99,000;KG;100,000;900,91;9,10;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-8,10;0,00;0,00;
12/12/2024;23/01/2025;19;8168;NAPA SOFT BAG PIGMENTADA DOURADO;2;PRODUCAO;16620;5124;99,000;M;100,000;1.465,20;14,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-13,80;0,00;0,00;
13/12/2024;09/01/2025;0;8939;MISTURA ANTIFUNGO METALIZADO 25%;6;MISTURA;16426;5124;555,500;KG;550,000;449,96;0,81;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;1,0000;0,19;0,00;0,00;
13/12/2024;09/01/2025;0;8939;MISTURA ANTIFUNGO METALIZADO 25%;6;MISTURA;16438;5124;27,000;KG;28,096;21,87;0,81;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;0,19;0,00;0,00;
13/12/2024;09/01/2025;0;8939;MISTURA ANTIFUNGO METALIZADO 25%;6;MISTURA;16438;5124;32,500;KG;33,259;26,33;0,81;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;0,19;0,00;0,00;
13/12/2024;09/01/2025;0;8939;MISTURA ANTIFUNGO METALIZADO 25%;6;MISTURA;16438;5124;107,500;KG;107,851;87,08;0,81;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;0,19;0,00;0,00;
13/12/2024;09/01/2025;0;8939;MISTURA ANTIFUNGO METALIZADO 25%;6;MISTURA;16438;5124;267,500;KG;268,000;216,68;0,81;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;0,19;0,00;0,00;
13/12/2024;09/01/2025;52;10879;FIRENZE PEWTER - ANTIFUNGO;2;PRODUCAO;16426;5124;555,500;M;550,000;2.827,50;5,09;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;1,0000;-4,09;0,00;0,00;
13/12/2024;09/01/2025;52;11445;NAPA STRETCH SOFT METALIZADO MATELASSE BRONZE ANTIFUNGO;2;PRODUCAO;16438;5124;107,500;M;107,851;547,18;5,09;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,09;0,00;0,00;
13/12/2024;09/01/2025;52;11446;P NAPA STRETCH SOFT METALIZADA BRONZE APL ANTI FUNGO;2;PRODUCAO;16438;5124;267,500;M;268,000;1.361,58;5,09;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,09;0,00;0,00;
13/12/2024;09/01/2025;52;11447;P NAPA STRETCH SOFT METAL PONTILHA PEWTER ANTI FUNGO;2;PRODUCAO;16438;5124;32,500;M;33,259;165,43;5,09;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,09;0,00;0,00;
13/12/2024;09/01/2025;52;11448;P NAPA STRETCH SOFT METAL PONTILHADO OURO ANTI FUNGO;2;PRODUCAO;16438;5124;27,000;M;28,096;137,43;5,09;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,09;0,00;0,00;
13/12/2024;10/01/2025;0;11860;INSUMOS APLICADOS ICMS NAO DIFERIDO;18;SERVIÇOS..;16445;5124;398,000;M;405,925;465,66;1,17;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;0,0100;-1,16;0,00;0,00;
13/12/2024;10/01/2025;0;11860;INSUMOS APLICADOS ICMS NAO DIFERIDO;18;SERVIÇOS..;16445;5124;2.431,500;M;4.398,207;2.844,86;1,17;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;0,0100;-1,16;0,00;0,00;
13/12/2024;10/01/2025;50;10326;GRAVAÇÃO PESPONTO PRETO;2;PRODUCAO;16445;5124;1.203,000;M;4.398,207;6.893,19;5,73;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,73;0,00;0,00;
13/12/2024;10/01/2025;50;10326;GRAVAÇÃO PESPONTO PRETO;2;PRODUCAO;16445;5124;1.228,500;M;3.195,207;7.039,31;5,73;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,73;0,00;0,00;
13/12/2024;10/01/2025;50;10779;GRAVAÇÃO PESPONTO NUDE;2;PRODUCAO;16445;5124;398,000;M;405,925;2.280,54;5,73;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,73;0,00;0,00;
13/12/2024;13/01/2025;0;11860;INSUMOS APLICADOS ICMS NAO DIFERIDO;18;SERVIÇOS..;16470;5124;1.947,500;M;1.966,707;2.278,58;1,17;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;0,0100;-1,16;0,00;0,00;
13/12/2024;13/01/2025;50;10326;GRAVAÇÃO PESPONTO PRETO;2;PRODUCAO;16470;5124;1.947,500;M;1.966,707;11.159,18;5,73;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;1,0000;-4,73;0,00;0,00;
13/12/2024;15/01/2025;0;11860;INSUMOS APLICADOS ICMS NAO DIFERIDO;18;SERVIÇOS..;16514;5124;204,000;M;202,962;238,68;1,17;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;0,0100;-1,16;0,24;0,00;
13/12/2024;15/01/2025;0;11860;INSUMOS APLICADOS ICMS NAO DIFERIDO;18;SERVIÇOS..;16514;5124;401,500;M;405,925;469,76;1,17;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;0,0100;-1,16;0,47;0,00;
13/12/2024;15/01/2025;50;10325;GRAVAÇÃO PESPONTO OFF WHITE;2;PRODUCAO;16514;5124;204,000;M;202,962;1.168,92;5,73;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,73;1,17;0,01;
13/12/2024;15/01/2025;50;11247;P GRAVACAO PESPONTO FENDI;2;PRODUCAO;16514;5124;401,500;M;405,925;2.300,60;5,73;Faturado;30;A. GRINGS S.A.;FABIO;IGREJINHA;RS;SMT;0,0000;1,0000;-4,73;2,30;0,01;
13/12/2024;15/01/2025;51;5610;NAPA PELICA PU 0.95 VERMELHO 599 (VENDA);2;PRODUCAO;16504;5101;142,500;M;150,000;5.144,25;36,10;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-35,10;0,00;0,00;
13/12/2024;17/01/2025;49;9277;CORTIÇA LISBOA PU 0.9 NATURAL;2;PRODUCAO;16537;5101;142,000;M;150,000;5.467,00;38,50;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-37,50;0,00;0,00;
06/01/2025;06/01/2025;53;11848;NEW BASE VITÓRIA WZ 1.1 BLACK (P);13;SUBSTRATO;16403;5101;200,000;M;200,000;4.460,00;22,30;Faturado;331;CALCADOS DIVALORI LTDA;;TRES COROAS;RS;SMT;0,0000;22,3000;0,00;0,00;0,00;
06/01/2025;15/01/2025;0;11860;INSUMOS APLICADOS ICMS NAO DIFERIDO;18;SERVIÇOS..;16512;5124;92,500;M;95,000;108,23;1,17;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;0,0100;-1,16;0,00;0,00;
06/01/2025;15/01/2025;55;10778;P GRAVAÇÃO PESPONTO CINZA;2;PRODUCAO;16512;5124;92,500;M;95,000;530,03;5,73;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;1,0000;-4,73;0,00;0,00;
06/01/2025;15/01/2025;57;420;NAPA DIAMANTINA BRANCO;2;PRODUCAO;16511;6124;117,200;M;120,000;966,90;8,25;Faturado;26;LC COMPONENTES E ACESSORIOS PARA;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-7,25;0,00;0,00;
06/01/2025;15/01/2025;57;3243;NAPA DIAMANTINA CANDY;2;PRODUCAO;16511;6124;117,200;M;120,000;966,90;8,25;Faturado;26;LC COMPONENTES E ACESSORIOS PARA;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-7,25;0,00;0,00;
06/01/2025;17/01/2025;56;11120;NAPA PELICA PU 1.0 CAPUCCINO 1278;2;PRODUCAO;16531;5101;407,200;M;400,000;14.862,80;36,50;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-35,50;0,00;0,00;
06/01/2025;20/01/2025;54;10359;TRAMALUX METAL OURO LIGHT;2;PRODUCAO;16562;5124;263,000;M;250,000;7.600,70;28,90;Faturado;261;ENDUTEX BRASIL LTDA;;TRES COROAS;RS;SMT;0,0000;1,0000;-27,90;0,00;0,00;
07/01/2025;10/01/2025;60;9802;NAPA SOFT TRIÂNGULO BAG NEO 0.9 CAMEL 1165;2;PRODUCAO;16450;5101;97,500;M;97,500;3.549,00;36,40;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-35,40;0,00;0,00;
07/01/2025;10/01/2025;60;9803;NAPA SOFT TRIÂNGULO BAG NEO 0.9 BRANCO OFF 526;2;PRODUCAO;16450;5101;95,000;M;95,000;3.458,00;36,40;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-35,40;0,00;0,00;
07/01/2025;10/01/2025;64;9842;NAPA LEZARD PARIS PU 1.0 PRETO 01;2;PRODUCAO;16452;5101;151,000;M;151,000;5.707,80;37,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-36,80;0,00;0,00;
07/01/2025;16/01/2025;63;11213;P NAPA TRESSE VALENCIA BAG NEO 0.9 PRETO;2;PRODUCAO;16517;5101;148,000;M;150,000;6.053,20;40,90;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-39,90;0,00;0,00;
07/01/2025;17/01/2025;65;9754;NAPA LEZARD PARIS PU 1.0 CREME 985;2;PRODUCAO;16536;5101;140,000;M;150,000;5.292,00;37,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-36,80;0,00;0,00;
07/01/2025;20/01/2025;62;10932;NOBUCK TUNISIA PU 1.2 CINZA 1235 VENDA BR;2;PRODUCAO;16553;5101;394,200;M;400,000;17.206,83;43,65;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-42,65;0,00;0,00;
07/01/2025;20/01/2025;62;11013;NOBUCK TUNISIA PU 1.2 BRANCO OFF (VENDA BEIRA RIO);2;PRODUCAO;16552;5101;289,500;M;300,000;12.636,68;43,65;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-42,65;0,00;0,00;
07/01/2025;20/01/2025;62;11044;NOBUCK TUNISIA PU 1.2 NUDE 658 (VENDA BEIRA RIO);2;PRODUCAO;16549;5101;399,500;M;400,000;17.438,18;43,65;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-42,65;0,00;0,00;
07/01/2025;28/01/2025;0;4553;LACA 3722 - INJEÇÃO;5;LACA/GLITTER;16657;5124;198,900;KG;200,000;1.143,68;5,75;Faturado;331;CALCADOS DIVALORI LTDA;;TRES COROAS;RS;SMT;0,0000;1,0000;-4,75;0,00;0,00;
07/01/2025;28/01/2025;59;5909;*1 GRAVAÇÃO MESTIÇO + METALIZADO PIGMENTADO OURO LIG;2;PRODUCAO;16657;5124;198,900;M;200,000;2.814,44;14,15;Faturado;331;CALCADOS DIVALORI LTDA;;TRES COROAS;RS;SMT;0,0000;1,0000;-13,15;0,00;0,00;
08/01/2025;08/01/2025;0;8939;MISTURA ANTIFUNGO METALIZADO 25%;6;MISTURA;16420;5124;387,000;KG;387,000;313,47;0,81;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;1,0000;0,19;0,00;0,00;
08/01/2025;08/01/2025;66;5349;CROCO METAL SLEEK SILVER;2;PRODUCAO;16412;6124;39,000;M;39,000;181,35;4,65;Faturado;41;SOARES COMERCIO DE MATERIAIS EM;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-3,65;0,00;0,00;
08/01/2025;08/01/2025;66;9448;CROCO METAL BRONZE;2;PRODUCAO;16412;6124;39,500;M;39,500;183,68;4,65;Faturado;41;SOARES COMERCIO DE MATERIAIS EM;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-3,65;0,00;0,00;
08/01/2025;08/01/2025;71;11851;FIRENZE PRATA - ANTIFUNGO;2;PRODUCAO;16420;5124;387,000;M;387,000;1.969,83;5,09;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;1,0000;-4,09;0,00;0,00;
08/01/2025;14/01/2025;0;8939;MISTURA ANTIFUNGO METALIZADO 25%;6;MISTURA;16482;5124;263,000;KG;262,000;213,03;0,81;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;1,0000;0,19;0,00;0,00;
08/01/2025;14/01/2025;68;6763;REPTIL NEW WHISKY;2;PRODUCAO;16488;6124;38,000;M;40,000;131,10;3,45;Faturado;41;SOARES COMERCIO DE MATERIAIS EM;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-2,45;0,00;0,00;
08/01/2025;14/01/2025;68;6766;REPTIL PRETO;2;PRODUCAO;16488;6124;39,000;M;40,000;134,55;3,45;Faturado;41;SOARES COMERCIO DE MATERIAIS EM;;SAO JOAO BATISTA;SC;SMT;0,0000;1,0000;-2,45;0,00;0,00;
08/01/2025;14/01/2025;69;11068;NAPA STRETCH METAL PRATA;2;PRODUCAO;16482;5124;263,000;M;262,000;1.338,67;5,09;Faturado;30;A. GRINGS S.A.;;IGREJINHA;RS;SMT;0,0000;1,0000;-4,09;0,00;0,00;
08/01/2025;14/01/2025;70;9842;NAPA LEZARD PARIS PU 1.0 PRETO 01;2;PRODUCAO;16474;5101;405,500;M;400,000;15.327,90;37,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-36,80;0,00;0,00;
08/01/2025;16/01/2025;70;9754;NAPA LEZARD PARIS PU 1.0 CREME 985;2;PRODUCAO;16521;5101;182,000;M;200,000;6.879,60;37,80;Faturado;15;CALCADOS BEIRA RIO S/A FL. 17;;SAPIRANGA;RS;SMT;0,0000;1,0000;-36,80;0,00;0,00;
